text,actual_label,predicted_label,correct
purchase amzn mktp ca*nn1gv58o0 food beverage event prize award etc,5700 office expense,5700 office expense,True
purchase amazon.ca*es2iz3vl3 miscellaneous purchase hardware hardgood,5772 computer,5700 office expense,False
purchase carfax canada ulc ,5700 office expense,5700 office expense,True
purchase checkr inc checkr.com general hr/ recruiting bamboohr certn linkedin,5450 hr recruiting,5450 hr recruiting,True
purchase snap snap ad ,5617 advertising,5700 office expense,False
purchase fresh counter cateri ,5785 meal entertainment,5700 office expense,False
purchase trustii general hr/ recruiting bamboohr certn linkedin,5450 hr recruiting,5450 hr recruiting,True
purchase facebk qwwcq757z2 facebook instagram advertising spend new ad account 862444328461160 create november 2022 update limit $ 62k month increase spend $ 2k day,5615 facebook advertising,5615 facebook advertising,True
purchase middlewarehq pmo card initially middleware additional license payment,account payable sage,5773 software license,False
purchase shaw telecom gp card internet telecom usage initially myfax go likely expand thing,5780 telephone utility,5700 office expense,False
purchase pharmasave 1101 ,5700 office expense,5700 office expense,True
purchase github inc recur monthly purchase license,5773 software license,5773 software license,True
purchase keg alberni ,5785 meal entertainment,5700 office expense,False
purchase la maison simon simon gift card brodie marshall win mtl xmas party,5700 office expense,5700 office expense,True
purchase trustii general hr/ recruiting bamboohr certn linkedin,5450 hr recruiting,5450 hr recruiting,True
purchase fs gearset.com recur monthly purchase license,5773 software license,5773 software license,True
purchase openai recur monthly purchase license,5773 software license,5773 software license,True
purchase amzn mktp ca*n43kn7q22 miscellaneous purchase hardware hardgood,5772 computer,5700 office expense,False
purchase facebk 9u4xauc8k2 ,5615 facebook advertising,5615 facebook advertising,True
purchase uber canada ubertrip ,5784 travel entertainment,5700 office expense,False
purchase amzn mktp ca*os8kl9jv3 miscellaneous purchase hardware hardgood,5772 computer,5700 office expense,False
purchase indigo park pay phon ,5700 office expense,5700 office expense,True
purchase microsoft*ads f107l5 yd bing ad spend c c $ 25k limit mar 9 2023,5617 advertising,5773 software license,False
purchase amazon zc2yb9vq0 food beverage event prize award etc,5700 office expense,5700 office expense,True
purchase dropbox*stl9jsyvrdww ,5773 software license,5773 software license,True
purchase registrysearch.ca passtime gps renewal spring auto financial product manage cypress hill use passtime platform reduce risk prevent loss vehicle cypress portfolio 6/20/2022 update card limit $ 1000 need match renewal requirement,5700 office expense,5700 office expense,True
purchase google*cloud fv9dj9 ,5773 software license,5773 software license,True
purchase acol www.acol.ca passtime gps renewal spring auto financial product manage cypress hill use passtime platform reduce risk prevent loss vehicle cypress portfolio 6/20/2022 update card limit $ 1000 need match renewal requirement,5700 office expense,5700 office expense,True
purchase registrysearch.ca passtime gps renewal spring auto financial product manage cypress hill use passtime platform reduce risk prevent loss vehicle cypress portfolio 6/20/2022 update card limit $ 1000 need match renewal requirement,5700 office expense,5700 office expense,True
purchase registrysearch.ca passtime gps renewal spring auto financial product manage cypress hill use passtime platform reduce risk prevent loss vehicle cypress portfolio 6/20/2022 update card limit $ 1000 need match renewal requirement,5700 office expense,5700 office expense,True
purchase amazon.ca nf2fb9w70 ,5700 office expense,5700 office expense,True
purchase loblaws city market ,5700 office expense,5700 office expense,True
purchase facebk 5xsxh8m6z2 facebook instagram advertising spend new ad account 862444328461160 create november 2022 update limit $ 62k month increase spend $ 2k day,5615 facebook advertising,5615 facebook advertising,True
purchase trustii general hr/ recruiting bamboohr certn linkedin,5450 hr recruiting,5450 hr recruiting,True
purchase facebk j73zmug8k2 ,5615 facebook advertising,5615 facebook advertising,True
purchase github inc recur monthly purchase license,5773 software license,5773 software license,True
purchase movinghelpcom ,5700 office expense,5700 office expense,True
purchase tiktok ad tiktok spend new advertising campaign create november 2022,account payable sage,5773 software license,False
purchase facebk 2aggnlu6k2 ,5615 facebook advertising,5615 facebook advertising,True
purchase crema artisan ice cream ,5785 meal entertainment,5700 office expense,False
purchase cebu air inc ,5784 travel entertainment,5700 office expense,False
purchase github inc recur monthly purchase license,5773 software license,5773 software license,True
purchase amazon.ca n45ju7r82 ,5700 office expense,5700 office expense,True
purchase zapier.com/charge ,5773 software license,5773 software license,True
purchase urban fare 7618 ,5700 office expense,5700 office expense,True
purchase zoom.com 888 799 9666 ,5773 software license,5773 software license,True
purchase trustii general hr/ recruiting bamboohr certn linkedin,5450 hr recruiting,5450 hr recruiting,True
purchase cs timhorton gc food beverage event prize award etc,5700 office expense,5700 office expense,True
purchase trustii general hr/ recruiting bamboohr certn linkedin,5450 hr recruiting,5450 hr recruiting,True
